"","ECOSUBCD","PLT_CN","tpaDead","baDead","volumeDead","propDead","propDeadLarge","volCWD","stage","baLive","carbonLive","richness","evenness","subForestProp","tpaCanopy","annualRecruit","annualMortality","micrForestProp","tpaRegen","INVYR","plotID","date","SRV_CN","CTY_CN","PREV_PLT_CN","STATECD","UNITCD","COUNTYCD","LAT","LON"
"22"," 211Ba",243882379489998,30.09023,0.869045403741174,2.50544725928218,0.108695652173913,NA,NA,"pole",8.66038706074278,11455.0921289103,0.624695047554424,0.346573590279973,1,246.739886,0.041501976284585,0.00197628458498024,1,1799.166768,2015,2321918,"2015-11-04",231469220020004,1320311010538,168929341010661,23,5,21,883044.281384602,1935042.47218183
"23"," 211Ba",243882515489998,6.018046,0.547548309399506,4.29903133436999,0.024390243902439,0.333333333333333,NA,"pole",10.172579122623,25277.1401069266,1.26491106406735,0.259930192709979,1,240.72184,0.0380491179522656,0.0172950536146662,1,224.895846,2015,2321380,"2015-11-16",231469220020004,1320311010538,168928601010661,23,5,21,901135.798993638,1953199.95973482
"24"," 211Ba",243882517489998,45.810045161578,2.3565452471805,7.10529116490267,0.2,0.166666666666667,NA,"pole",9.51190067441765,25717.3217230918,0.944911182523068,0.32188758248682,0.919587,183.240180646312,0.0100553041729512,0.0150829562594268,1,149.930564,2015,23211761,"2015-09-28",231469220020004,1320311010538,168928605010661,23,5,21,901603.533392958,1939050.60389313
"25"," 211Ba",243882839489998,96.288736,3.50094265457443,21.9016415544519,0.186046511627907,0.25,NA,"pole",12.9935080046641,22780.228432747,1.07570574840095,0.244136064148469,1,421.26322,0.0128275609309144,0.0109950522264981,1,1199.444512,2015,23211694,"2015-09-28",231469220020004,1320311010538,168928585010661,23,5,21,955266.349506157,1964622.62204186
"26"," 211Ba",243882841489998,18.054138,0.626740944703055,1.53666079979521,0.0909090909090909,NA,NA,"pole",7.38470561858311,18755.2551434695,1.6431676725155,0.244136064148469,1,180.54138,0.00392464678178964,0.00784929356357928,1,1274.409794,2015,23191993,"2015-05-14",231469220020004,1320309010538,168928589010661,23,3,19,940531.000298915,1959343.93042819
"27"," 211Ba",243882866489998,48.144368,2.29411641862016,11.2738144098397,0.153846153846154,0.181818181818182,NA,"mature",12.9319103445512,28603.8202638062,1.05528970602217,0.277987164150759,1,264.794024,0.0372093023255814,0.00697674418604651,1,2323.923742,2015,23191689,"2015-10-28",231469220020004,1320309010538,168928401010661,23,3,19,978569.345195456,1979440.23093458
"28"," 211Ba",243882867489998,30.09023,0.944487290433889,3.69072421138349,0.121951219512195,NA,NA,"mature",12.2545495405475,30187.4605424587,1.16666666666667,0.277987164150759,1,216.649656,0.0229621125143513,0.0258323765786452,1,1349.375076,2015,23191176,"2015-09-22",231469220020004,1320309010538,168928403010661,23,3,19,967783.745852873,1978980.39624376
"29"," 211Ba",243882999489998,18.054138,0.803026129412263,4.05723488590118,0.0697674418604651,NA,16.2366606549979,"mature",10.0310874677102,26617.979374824,0.948683298050514,0.298626578204676,1,240.72184,0.00576701268742791,0.00288350634371396,1,1724.201486,2015,23191200,"2015-07-16",231469220020004,1320309010538,168928413010661,23,3,19,955042.923964908,1971232.82787587
"30"," 211Ba",243883000489998,14.2018281941185,1.24536970407246,6.4314411626448,0.181818181818182,0.5,NA,"mature",2.92970596279891,8059.2499566163,1.33333333333333,0.346573590279973,0.847503,63.9082268735332,0.0412087912087912,0.00686813186813187,1,1049.513948,2015,23191679,"2015-04-06",231469220020004,1320309010538,168928415010661,23,3,19,949006.993690928,1972471.68238311
"31"," 211Ba",243883007489998,36.108276,1.94621161454693,9.7095989175338,0.105263157894737,0.285714285714286,6.21946662377885,"mature",11.4476506869598,23393.0305246368,1.12022406722241,0.259930192709979,1,306.920346,0.0177514792899408,0.00887573964497041,1,374.82641,2015,23211263,"2015-08-04",231469220020004,1320311010538,168928429010661,23,5,21,921334.623862988,1956235.81604269
"32"," 211Ba",243883008489998,18.054138,0.657143354174613,2.66390122610936,0.111111111111111,NA,NA,"mature",6.08856277546516,19886.7762801632,1.63299316185545,0.259930192709979,1,144.433104,0.0333704115684093,0.00834260289210234,1,1724.201486,2015,2321274,"2015-11-30",231469220020004,1320311010538,168928431010661,23,5,21,902604.410850624,1964286.08637286
"33"," 211Ba",304030043489998,54.162414,1.71720249204803,10.7667692822179,0.176470588235294,0.166666666666667,NA,"mature",10.5741836690026,28139.2139875345,1.38873014965883,0.244136064148469,1,252.757932,0.0101071356377603,0.0101071356377603,1,149.930564,2016,2321485,"2016-09-22",304024323489998,1320311010538,222517563010661,23,5,21,877880.105068207,1936089.29111942
